853,70
853,116
854,117
854,132
853,133
853,137
849,141
848,141
847,142
845,142
844,143
841,143
840,144
838,144
837,145
836,145
835,146
833,146
832,147
830,147
829,148
827,148
826,149
825,149
824,150
822,150
821,151
819,151
818,152
816,152
815,153
814,153
813,154
811,154
810,155
808,155
807,156
804,156
803,157
801,157
800,158
798,158
797,159
796,159
795,160
794,160
793,161
792,161
791,162
790,162
790,165
792,167
795,167
796,168
797,168
799,170
800,170
801,171
802,171
803,172
804,172
805,173
806,173
808,175
809,175
811,177
812,177
813,178
814,178
815,179
816,179
818,181
819,181
820,182
821,182
823,184
824,184
825,185
826,185
827,186
828,186
829,187
830,187
831,188
832,188
835,191
836,191
838,193
839,193
841,195
842,195
846,199
846,200
847,201
847,211
846,212
846,216
845,217
845,221
844,222
844,226
843,227
843,232
842,233
842,236
841,237
841,242
840,243
840,247
839,248
839,253
838,254
838,256
837,257
837,265
836,266
836,268
835,269
835,270
837,270
844,263
845,263
847,261
848,261
849,260
850,260
851,259
852,259
855,256
856,256
859,253
860,253
861,252
862,252
864,250
866,250
867,249
868,249
870,247
871,247
875,243
876,243
877,242
878,242
879,241
880,241
881,240
882,240
884,238
885,238
887,236
888,236
889,235
890,235
891,234
892,234
893,233
897,233
898,234
899,234
903,238
904,238
912,246
913,246
922,255
923,255
926,258
927,258
933,264
934,264
937,267
938,267
941,270
942,270
944,272
945,272
948,275
951,275
952,276
952,277
953,278
954,278
954,277
955,276
955,241
954,240
955,239
955,233
954,232
955,231
955,230
954,229
954,213
953,212
953,210
954,209
954,207
955,206
955,204
957,202
958,202
960,200
965,200
966,199
967,199
968,198
969,198
970,197
971,197
972,196
976,196
977,195
979,197
980,197
984,193
985,193
987,191
988,191
989,190
993,190
994,189
996,189
997,188
1001,188
1002,187
1003,187
1004,186
1006,186
1008,184
1010,184
1012,182
1013,183
1015,183
1016,182
1019,182
1016,182
1013,179
1013,178
1009,174
1007,174
1006,173
1005,173
1003,171
1001,171
1000,170
999,170
997,168
996,168
995,167
994,167
993,166
992,166
991,165
990,165
987,162
986,162
985,161
984,161
982,159
981,159
980,158
979,158
977,156
975,156
974,155
973,155
971,153
970,153
969,152
968,152
966,150
965,150
963,148
962,148
960,146
960,135
961,134
961,129
962,128
962,124
963,123
963,120
964,119
964,112
965,111
965,107
966,106
966,103
967,102
967,98
968,97
968,94
969,93
969,88
970,87
970,83
971,82
971,76
969,76
968,77
967,77
964,80
963,80
962,81
961,81
960,82
959,82
958,83
957,83
955,85
954,85
952,87
951,87
950,88
949,88
948,89
947,89
945,91
944,91
942,93
941,93
938,96
937,96
936,97
935,97
934,98
933,98
932,99
931,99
930,100
929,100
927,102
926,102
924,104
923,104
922,105
921,105
919,107
918,107
917,108
916,108
915,109
914,109
913,110
912,110
911,111
909,111
906,108
905,108
904,107
904,106
902,104
901,104
899,102
898,102
893,97
892,97
886,91
885,91
882,88
881,88
875,82
874,82
873,81
872,81
866,75
865,75
864,74
863,74
861,72
860,72
858,70
